FILENAME,CLASS,LABEL,SCORE
Galaxy10_DECals-dataset-03880,1,2,0.4687
Galaxy10_DECals-dataset-09828,2,2,0.7958
Galaxy10_DECals-dataset-16741,3,3,1.0
Galaxy10_DECals-dataset-05915,1,2,0.4263
Galaxy10_DECals-dataset-04776,1,1,0.7329
Galaxy10_DECals-dataset-10592,2,2,0.7513
Galaxy10_DECals-dataset-06288,1,1,0.4638
Galaxy10_DECals-dataset-02847,0,0,0.4952
Galaxy10_DECals-dataset-13672,2,2,0.7037
Galaxy10_DECals-dataset-13363,2,0,0.3917
Galaxy10_DECals-dataset-03633,1,1,0.9452
Galaxy10_DECals-dataset-02336,0,2,0.6169
Galaxy10_DECals-dataset-15165,3,3,0.7667
Galaxy10_DECals-dataset-10217,2,2,0.8826
Galaxy10_DECals-dataset-07860,1,1,0.6801
Galaxy10_DECals-dataset-08380,2,2,0.5706
Galaxy10_DECals-dataset-08758,2,2,0.929
Galaxy10_DECals-dataset-08151,2,2,0.6796
Galaxy10_DECals-dataset-09246,2,2,0.6263
Galaxy10_DECals-dataset-13204,2,3,0.5333
Galaxy10_DECals-dataset-06053,1,2,0.4911
Galaxy10_DECals-dataset-09567,2,2,0.7973
Galaxy10_DECals-dataset-17662,3,3,0.7833
Galaxy10_DECals-dataset-00675,0,1,0.457
Galaxy10_DECals-dataset-16959,3,3,0.6444
Galaxy10_DECals-dataset-13189,2,2,0.6476
Galaxy10_DECals-dataset-11453,2,2,0.5981
Galaxy10_DECals-dataset-13208,2,2,0.536
Galaxy10_DECals-dataset-04942,1,1,0.8459
Galaxy10_DECals-dataset-02564,0,0,0.58
Galaxy10_DECals-dataset-03239,1,2,0.3674
Galaxy10_DECals-dataset-16342,3,3,0.5
Galaxy10_DECals-dataset-16983,3,0,0.4125
Galaxy10_DECals-dataset-08101,2,2,0.3879
Galaxy10_DECals-dataset-07750,1,1,0.5318
Galaxy10_DECals-dataset-04369,1,1,0.8476
Galaxy10_DECals-dataset-13787,2,2,0.3949
Galaxy10_DECals-dataset-00920,0,1,0.8222
Galaxy10_DECals-dataset-10128,2,2,0.8253
Galaxy10_DECals-dataset-13155,2,0,0.4505
Galaxy10_DECals-dataset-16311,3,3,0.6
Galaxy10_DECals-dataset-17362,3,3,0.8278
Galaxy10_DECals-dataset-06209,1,2,0.5346
Galaxy10_DECals-dataset-02135,0,2,0.7171
Galaxy10_DECals-dataset-15764,3,3,0.9333
Galaxy10_DECals-dataset-00400,0,2,0.4007
Galaxy10_DECals-dataset-01758,0,0,0.6333
Galaxy10_DECals-dataset-11617,2,2,0.6525
Galaxy10_DECals-dataset-06750,1,1,0.9096
Galaxy10_DECals-dataset-05452,1,1,0.9724
Galaxy10_DECals-dataset-15900,3,3,0.4632
Galaxy10_DECals-dataset-09345,2,2,0.9145
Galaxy10_DECals-dataset-02278,0,2,0.5932
Galaxy10_DECals-dataset-08320,2,2,0.9707
Galaxy10_DECals-dataset-00446,0,2,0.54
Galaxy10_DECals-dataset-00180,0,2,0.3782
Galaxy10_DECals-dataset-00603,0,2,0.7252
Galaxy10_DECals-dataset-04758,1,1,0.9606
Galaxy10_DECals-dataset-03175,1,1,0.9965
Galaxy10_DECals-dataset-12911,2,2,0.6144
Galaxy10_DECals-dataset-02790,0,0,0.4898
Galaxy10_DECals-dataset-09098,2,2,0.5697
Galaxy10_DECals-dataset-10836,2,2,0.7779
Galaxy10_DECals-dataset-12150,2,1,0.5178
Galaxy10_DECals-dataset-04125,1,1,0.9942
Galaxy10_DECals-dataset-07868,1,2,0.317
Galaxy10_DECals-dataset-06360,1,1,0.9299
Galaxy10_DECals-dataset-08306,2,2,0.7341
Galaxy10_DECals-dataset-15385,3,3,0.5333
Galaxy10_DECals-dataset-09774,2,1,0.7399
Galaxy10_DECals-dataset-06639,1,1,0.5444
Galaxy10_DECals-dataset-04406,1,1,0.7713
Galaxy10_DECals-dataset-04642,1,1,0.9561
Galaxy10_DECals-dataset-05628,1,1,0.8889
Galaxy10_DECals-dataset-03048,1,1,0.9007
Galaxy10_DECals-dataset-08210,2,2,0.8923
Galaxy10_DECals-dataset-09164,2,2,0.7424
Galaxy10_DECals-dataset-15042,3,3,0.9333
Galaxy10_DECals-dataset-14384,2,3,0.5333
Galaxy10_DECals-dataset-07148,1,1,0.5111
Galaxy10_DECals-dataset-03756,1,1,0.6617
Galaxy10_DECals-dataset-10542,2,2,0.9179
Galaxy10_DECals-dataset-11136,2,2,0.8347
Galaxy10_DECals-dataset-05683,1,1,0.7681
Galaxy10_DECals-dataset-06184,1,2,0.4903
Galaxy10_DECals-dataset-16130,3,2,0.5933
Galaxy10_DECals-dataset-17534,3,3,0.8667
Galaxy10_DECals-dataset-02271,0,0,0.3333
Galaxy10_DECals-dataset-16065,3,3,0.5667
Galaxy10_DECals-dataset-00541,0,2,0.4782
Galaxy10_DECals-dataset-16820,3,3,0.9667
Galaxy10_DECals-dataset-06553,1,1,0.804
Galaxy10_DECals-dataset-11802,2,2,0.6828
Galaxy10_DECals-dataset-07709,1,2,0.4164
Galaxy10_DECals-dataset-06428,1,1,0.8059
Galaxy10_DECals-dataset-12658,2,2,0.8083
Galaxy10_DECals-dataset-11484,2,2,0.7963
Galaxy10_DECals-dataset-12929,2,2,0.8472
Galaxy10_DECals-dataset-13640,2,0,0.4665
Galaxy10_DECals-dataset-15506,3,3,0.9667
Galaxy10_DECals-dataset-07252,1,2,0.5361
Galaxy10_DECals-dataset-14580,3,3,0.9
Galaxy10_DECals-dataset-09270,2,2,0.8858
Galaxy10_DECals-dataset-13816,2,2,0.8053
Galaxy10_DECals-dataset-11115,2,2,0.4958
Galaxy10_DECals-dataset-08924,2,2,0.5456
Galaxy10_DECals-dataset-16527,3,3,0.7
Galaxy10_DECals-dataset-15267,3,3,0.6667
Galaxy10_DECals-dataset-13291,2,1,0.6908
Galaxy10_DECals-dataset-12478,2,1,0.4801
Galaxy10_DECals-dataset-00092,0,2,0.4011
Galaxy10_DECals-dataset-10103,2,2,0.7172
Galaxy10_DECals-dataset-14300,2,2,0.6441
Galaxy10_DECals-dataset-14170,2,2,0.7251
Galaxy10_DECals-dataset-10383,2,1,0.5675
Galaxy10_DECals-dataset-07995,2,2,0.3964
Galaxy10_DECals-dataset-12481,2,3,0.8
Galaxy10_DECals-dataset-02509,0,0,0.5769
Galaxy10_DECals-dataset-05634,1,1,0.9795
Galaxy10_DECals-dataset-06692,1,1,0.6315
Galaxy10_DECals-dataset-16366,3,3,0.7667
Galaxy10_DECals-dataset-13563,2,2,0.824
Galaxy10_DECals-dataset-00504,0,3,0.65
Galaxy10_DECals-dataset-16080,3,3,0.6333
Galaxy10_DECals-dataset-04091,1,1,0.8996
Galaxy10_DECals-dataset-09720,2,2,0.7134
Galaxy10_DECals-dataset-06219,1,1,0.7428
Galaxy10_DECals-dataset-14723,3,3,0.9667
Galaxy10_DECals-dataset-07161,1,1,0.7878
Galaxy10_DECals-dataset-01066,0,0,0.525
Galaxy10_DECals-dataset-07330,1,1,0.6804
Galaxy10_DECals-dataset-04250,1,1,0.8501
Galaxy10_DECals-dataset-17158,3,2,0.4667
Galaxy10_DECals-dataset-08844,2,2,1.0
Galaxy10_DECals-dataset-07875,1,1,0.3752
Galaxy10_DECals-dataset-16660,3,0,0.4565
Galaxy10_DECals-dataset-16991,3,3,0.6524
Galaxy10_DECals-dataset-08260,2,2,0.4531
Galaxy10_DECals-dataset-05550,1,1,0.4869
Galaxy10_DECals-dataset-01479,0,0,0.6583
Galaxy10_DECals-dataset-14195,2,2,0.3084
Galaxy10_DECals-dataset-14447,3,3,0.6444
Galaxy10_DECals-dataset-14392,2,2,0.5236
Galaxy10_DECals-dataset-01630,0,2,0.6815
Galaxy10_DECals-dataset-11527,2,2,0.814
Galaxy10_DECals-dataset-16250,3,3,0.7333
Galaxy10_DECals-dataset-07952,2,3,0.5667
Galaxy10_DECals-dataset-09256,2,2,0.8123
Galaxy10_DECals-dataset-02747,0,0,0.5723
Galaxy10_DECals-dataset-13445,2,2,0.9619
Galaxy10_DECals-dataset-15839,3,3,0.8333
Galaxy10_DECals-dataset-13820,2,2,0.8818
Galaxy10_DECals-dataset-15096,3,3,0.8889
Galaxy10_DECals-dataset-11989,2,2,0.504
Galaxy10_DECals-dataset-16081,3,3,0.4667
Galaxy10_DECals-dataset-14073,2,2,0.6491
Galaxy10_DECals-dataset-01619,0,0,0.6452
Galaxy10_DECals-dataset-04145,1,1,0.7963
Galaxy10_DECals-dataset-02854,0,2,0.4383
Galaxy10_DECals-dataset-04790,1,2,0.5633
Galaxy10_DECals-dataset-05121,1,1,0.9089
Galaxy10_DECals-dataset-04561,1,1,0.9845
Galaxy10_DECals-dataset-03246,1,1,0.8773
Galaxy10_DECals-dataset-00562,0,1,0.6011
Galaxy10_DECals-dataset-12297,2,2,0.5943
Galaxy10_DECals-dataset-09586,2,1,0.5639
Galaxy10_DECals-dataset-16773,3,3,0.9333
Galaxy10_DECals-dataset-10482,2,2,0.68
Galaxy10_DECals-dataset-13320,2,2,0.5804
Galaxy10_DECals-dataset-09513,2,2,0.9373
Galaxy10_DECals-dataset-08361,2,2,0.7053
Galaxy10_DECals-dataset-05845,1,1,0.7419
Galaxy10_DECals-dataset-16035,3,3,0.8667
Galaxy10_DECals-dataset-08617,2,2,0.834
Galaxy10_DECals-dataset-09596,2,2,0.8092
Galaxy10_DECals-dataset-09644,2,2,0.6052
Galaxy10_DECals-dataset-12652,2,2,0.895
Galaxy10_DECals-dataset-06417,1,2,0.5106
Galaxy10_DECals-dataset-10148,2,2,0.6092
Galaxy10_DECals-dataset-08172,2,1,0.5761
Galaxy10_DECals-dataset-13834,2,2,0.4372
Galaxy10_DECals-dataset-16146,3,3,0.5028
Galaxy10_DECals-dataset-05007,1,1,0.351
Galaxy10_DECals-dataset-13425,2,1,0.5171
Galaxy10_DECals-dataset-13969,2,2,0.5841
Galaxy10_DECals-dataset-13805,2,1,0.6006
Galaxy10_DECals-dataset-10593,2,2,0.7919
Galaxy10_DECals-dataset-04397,1,1,0.6523
Galaxy10_DECals-dataset-05301,1,1,0.7776
Galaxy10_DECals-dataset-16000,3,3,0.6
Galaxy10_DECals-dataset-04706,1,1,0.4411
Galaxy10_DECals-dataset-07982,2,0,0.2667
Galaxy10_DECals-dataset-08298,2,2,0.7605
Galaxy10_DECals-dataset-07572,1,2,0.3863
Galaxy10_DECals-dataset-01629,0,1,0.4392
Galaxy10_DECals-dataset-09467,2,2,0.8911
Galaxy10_DECals-dataset-07020,1,1,0.8481
Galaxy10_DECals-dataset-11521,2,2,0.8538
Galaxy10_DECals-dataset-08949,2,2,0.9288
Galaxy10_DECals-dataset-04892,1,1,0.6076
Galaxy10_DECals-dataset-02167,0,2,0.4576
Galaxy10_DECals-dataset-04366,1,1,0.6957
Galaxy10_DECals-dataset-05020,1,2,0.4971
Galaxy10_DECals-dataset-03984,1,1,0.9113
Galaxy10_DECals-dataset-01646,0,0,0.377
Galaxy10_DECals-dataset-11836,2,2,0.7053
Galaxy10_DECals-dataset-16786,3,3,0.9667
Galaxy10_DECals-dataset-13152,2,2,0.5855
Galaxy10_DECals-dataset-17265,3,3,0.6333
Galaxy10_DECals-dataset-11748,2,2,0.9234
Galaxy10_DECals-dataset-07667,1,3,0.4
Galaxy10_DECals-dataset-15003,3,3,0.7
Galaxy10_DECals-dataset-07362,1,1,0.8164
Galaxy10_DECals-dataset-06671,1,1,0.8654
Galaxy10_DECals-dataset-00863,0,2,0.5897
Galaxy10_DECals-dataset-15767,3,3,1.0
Galaxy10_DECals-dataset-02524,0,2,0.3667
Galaxy10_DECals-dataset-14924,3,3,0.7333
Galaxy10_DECals-dataset-07254,1,1,0.7516
Galaxy10_DECals-dataset-02958,1,1,0.9222
Galaxy10_DECals-dataset-01118,0,0,0.6167
Galaxy10_DECals-dataset-06591,1,1,0.7981
Galaxy10_DECals-dataset-10339,2,2,0.4757
Galaxy10_DECals-dataset-01252,0,2,0.5039
Galaxy10_DECals-dataset-13264,2,2,0.8328
Galaxy10_DECals-dataset-08744,2,2,0.7172
Galaxy10_DECals-dataset-07890,1,1,0.5282
Galaxy10_DECals-dataset-12074,2,2,0.5273
Galaxy10_DECals-dataset-04358,1,2,0.3956
Galaxy10_DECals-dataset-03691,1,2,0.499
Galaxy10_DECals-dataset-16088,3,3,0.6667
Galaxy10_DECals-dataset-10829,2,2,0.5971
Galaxy10_DECals-dataset-15961,3,3,0.9333
Galaxy10_DECals-dataset-08897,2,2,0.7608
Galaxy10_DECals-dataset-09104,2,2,0.5844
Galaxy10_DECals-dataset-13173,2,2,0.9086
Galaxy10_DECals-dataset-11085,2,2,0.5789
Galaxy10_DECals-dataset-05226,1,1,0.5792
Galaxy10_DECals-dataset-15509,3,3,0.8167
Galaxy10_DECals-dataset-04077,1,1,0.6568
Galaxy10_DECals-dataset-10160,2,1,0.5802
Galaxy10_DECals-dataset-10640,2,2,0.7532
Galaxy10_DECals-dataset-07281,1,1,0.8156
Galaxy10_DECals-dataset-00758,0,0,0.3504
Galaxy10_DECals-dataset-02223,0,0,0.3985
Galaxy10_DECals-dataset-00055,0,0,0.4795
Galaxy10_DECals-dataset-09730,2,2,0.8984
Galaxy10_DECals-dataset-16953,3,3,1.0
Galaxy10_DECals-dataset-00684,0,1,0.5839
Galaxy10_DECals-dataset-02516,0,0,0.6083
Galaxy10_DECals-dataset-01324,0,0,0.5009
Galaxy10_DECals-dataset-07338,1,1,0.8794
Galaxy10_DECals-dataset-06497,1,1,0.6324
Galaxy10_DECals-dataset-12785,2,2,0.6471
Galaxy10_DECals-dataset-10699,2,2,0.6782
Galaxy10_DECals-dataset-00241,0,1,0.4507
Galaxy10_DECals-dataset-16113,3,3,0.5073
Galaxy10_DECals-dataset-06394,1,1,0.8694
Galaxy10_DECals-dataset-14041,2,1,0.9647
Galaxy10_DECals-dataset-09233,2,2,0.9192
Galaxy10_DECals-dataset-16006,3,3,1.0
Galaxy10_DECals-dataset-09239,2,2,0.4481
Galaxy10_DECals-dataset-03789,1,1,0.9978
Galaxy10_DECals-dataset-01408,0,1,0.4044
Galaxy10_DECals-dataset-17351,3,1,0.4056
Galaxy10_DECals-dataset-16303,3,1,0.8333
Galaxy10_DECals-dataset-03571,1,1,0.9542
Galaxy10_DECals-dataset-13549,2,2,0.6295
Galaxy10_DECals-dataset-03046,1,1,0.9911
Galaxy10_DECals-dataset-12927,2,2,0.4534
Galaxy10_DECals-dataset-04275,1,2,0.5201
Galaxy10_DECals-dataset-01761,0,0,0.4196
Galaxy10_DECals-dataset-01568,0,2,0.4444
Galaxy10_DECals-dataset-15673,3,3,0.8667
Galaxy10_DECals-dataset-06727,1,1,0.5444
Galaxy10_DECals-dataset-12707,2,2,0.9366
Galaxy10_DECals-dataset-09621,2,2,0.683
Galaxy10_DECals-dataset-08755,2,2,0.8595
Galaxy10_DECals-dataset-13888,2,2,0.5026
Galaxy10_DECals-dataset-06480,1,1,0.6178
Galaxy10_DECals-dataset-07730,1,1,0.5
Galaxy10_DECals-dataset-06212,1,3,0.4833
Galaxy10_DECals-dataset-10267,2,2,0.8006
Galaxy10_DECals-dataset-11628,2,2,0.4
Galaxy10_DECals-dataset-05178,1,2,0.7516
Galaxy10_DECals-dataset-07469,1,1,0.7545
Galaxy10_DECals-dataset-15530,3,3,0.4667
Galaxy10_DECals-dataset-09289,2,2,0.5185
Galaxy10_DECals-dataset-13467,2,0,0.4917
Galaxy10_DECals-dataset-11945,2,1,0.385
Galaxy10_DECals-dataset-02388,0,2,0.5303
Galaxy10_DECals-dataset-08969,2,2,0.7781
Galaxy10_DECals-dataset-05500,1,1,0.5948
Galaxy10_DECals-dataset-15751,3,3,1.0
Galaxy10_DECals-dataset-01353,0,2,0.7428
Galaxy10_DECals-dataset-11224,2,2,0.9325
Galaxy10_DECals-dataset-00671,0,1,0.5878
Galaxy10_DECals-dataset-05368,1,1,0.871
Galaxy10_DECals-dataset-11674,2,1,0.7486
Galaxy10_DECals-dataset-15456,3,3,0.8667
Galaxy10_DECals-dataset-00559,0,2,0.886
Galaxy10_DECals-dataset-05702,1,1,0.8143
Galaxy10_DECals-dataset-05805,1,1,0.9467
Galaxy10_DECals-dataset-12750,2,2,0.8998
Galaxy10_DECals-dataset-16580,3,0,0.4741
Galaxy10_DECals-dataset-06947,1,1,0.8838
Galaxy10_DECals-dataset-04691,1,1,0.8371
Galaxy10_DECals-dataset-16305,3,3,0.7667
Galaxy10_DECals-dataset-04086,1,1,0.9538
Galaxy10_DECals-dataset-09386,2,2,0.8892
Galaxy10_DECals-dataset-13272,2,0,0.535
Galaxy10_DECals-dataset-13981,2,2,0.4842
Galaxy10_DECals-dataset-15848,3,3,1.0
Galaxy10_DECals-dataset-12352,2,2,0.5
Galaxy10_DECals-dataset-07147,1,1,0.8104
Galaxy10_DECals-dataset-09340,2,2,0.8693
Galaxy10_DECals-dataset-06684,1,1,0.6785
Galaxy10_DECals-dataset-02808,0,0,0.592
Galaxy10_DECals-dataset-00815,0,1,0.7101
Galaxy10_DECals-dataset-04974,1,1,0.7834
Galaxy10_DECals-dataset-05783,1,1,0.3139
Galaxy10_DECals-dataset-17376,3,3,0.7667
Galaxy10_DECals-dataset-07963,2,2,0.8281
Galaxy10_DECals-dataset-07051,1,1,0.8274
Galaxy10_DECals-dataset-17183,3,3,0.5333
Galaxy10_DECals-dataset-07650,1,1,0.4935
Galaxy10_DECals-dataset-08476,2,1,0.3699
Galaxy10_DECals-dataset-14264,2,2,0.7498
Galaxy10_DECals-dataset-00496,0,0,0.3429
Galaxy10_DECals-dataset-05216,1,2,0.5054
Galaxy10_DECals-dataset-00228,0,3,0.3667
Galaxy10_DECals-dataset-07501,1,1,0.8372
Galaxy10_DECals-dataset-04949,1,1,0.8583
Galaxy10_DECals-dataset-16857,3,3,0.9667
Galaxy10_DECals-dataset-08088,2,2,0.7717
Galaxy10_DECals-dataset-08536,2,2,0.7717
Galaxy10_DECals-dataset-01695,0,1,0.4778
Galaxy10_DECals-dataset-07645,1,1,0.4
Galaxy10_DECals-dataset-14434,2,2,0.5437
Galaxy10_DECals-dataset-03659,1,1,0.8939
Galaxy10_DECals-dataset-09536,2,1,0.5982
Galaxy10_DECals-dataset-17216,3,3,0.725
Galaxy10_DECals-dataset-11187,2,2,0.9622
Galaxy10_DECals-dataset-06757,1,1,0.6688
Galaxy10_DECals-dataset-14318,2,2,0.7621
Galaxy10_DECals-dataset-04925,1,1,0.6562
Galaxy10_DECals-dataset-16626,3,3,0.7917
Galaxy10_DECals-dataset-04610,1,1,0.8525
Galaxy10_DECals-dataset-11789,2,3,0.4667
Galaxy10_DECals-dataset-10510,2,1,0.7748
Galaxy10_DECals-dataset-04631,1,1,0.9296
Galaxy10_DECals-dataset-10353,2,2,0.9543
Galaxy10_DECals-dataset-16373,3,3,0.9667
Galaxy10_DECals-dataset-06479,1,1,0.6854
Galaxy10_DECals-dataset-10105,2,2,0.8032
Galaxy10_DECals-dataset-06354,1,1,0.7516
Galaxy10_DECals-dataset-14984,3,2,0.7458
Galaxy10_DECals-dataset-13587,2,2,0.4703
Galaxy10_DECals-dataset-04595,1,1,0.7766
Galaxy10_DECals-dataset-06769,1,1,0.7992
Galaxy10_DECals-dataset-03418,1,1,0.8382
Galaxy10_DECals-dataset-05315,1,1,0.9292
Galaxy10_DECals-dataset-02193,0,2,0.4456
Galaxy10_DECals-dataset-09469,2,2,0.7167
Galaxy10_DECals-dataset-00586,0,1,0.6685
Galaxy10_DECals-dataset-17029,3,3,0.8333
Galaxy10_DECals-dataset-09248,2,2,0.5721
Galaxy10_DECals-dataset-02105,0,2,0.6771
Galaxy10_DECals-dataset-11197,2,2,0.8311
Galaxy10_DECals-dataset-03141,1,1,0.9667
Galaxy10_DECals-dataset-15450,3,3,0.4667
Galaxy10_DECals-dataset-14842,3,3,1.0
Galaxy10_DECals-dataset-09953,2,2,0.5667
Galaxy10_DECals-dataset-12602,2,2,0.77
Galaxy10_DECals-dataset-10533,2,2,0.9875
Galaxy10_DECals-dataset-05302,1,2,0.3364
Galaxy10_DECals-dataset-13899,2,2,0.4469
Galaxy10_DECals-dataset-04726,1,1,0.7032
Galaxy10_DECals-dataset-02511,0,0,0.6631
Galaxy10_DECals-dataset-16330,3,3,0.7333
Galaxy10_DECals-dataset-16314,3,3,0.6778
Galaxy10_DECals-dataset-17287,3,3,0.6667
Galaxy10_DECals-dataset-04576,1,1,0.9381
Galaxy10_DECals-dataset-03195,1,1,0.8409
Galaxy10_DECals-dataset-08772,2,2,0.6667
Galaxy10_DECals-dataset-00895,0,2,0.8389
Galaxy10_DECals-dataset-15657,3,3,0.8308
Galaxy10_DECals-dataset-15048,3,3,1.0
Galaxy10_DECals-dataset-00373,0,1,0.607
Galaxy10_DECals-dataset-00437,0,1,0.6326
Galaxy10_DECals-dataset-08767,2,2,0.9
Galaxy10_DECals-dataset-09332,2,2,0.4754
Galaxy10_DECals-dataset-11371,2,2,0.8262
Galaxy10_DECals-dataset-15194,3,3,0.9667
Galaxy10_DECals-dataset-16028,3,3,0.5333
Galaxy10_DECals-dataset-15686,3,3,0.8
Galaxy10_DECals-dataset-11174,2,2,0.8767
Galaxy10_DECals-dataset-10183,2,1,0.6129
Galaxy10_DECals-dataset-14180,2,3,0.4686
Galaxy10_DECals-dataset-09966,2,2,0.6788
Galaxy10_DECals-dataset-16177,3,0,0.3552
Galaxy10_DECals-dataset-07806,1,1,0.8202
Galaxy10_DECals-dataset-10069,2,2,0.5739
Galaxy10_DECals-dataset-04119,1,1,0.9589
Galaxy10_DECals-dataset-15742,3,3,1.0
Galaxy10_DECals-dataset-06003,1,2,0.6092
Galaxy10_DECals-dataset-04238,1,2,0.4522
Galaxy10_DECals-dataset-05372,1,1,0.6622
Galaxy10_DECals-dataset-09292,2,2,0.8486
Galaxy10_DECals-dataset-06978,1,1,0.6262
Galaxy10_DECals-dataset-02266,0,0,0.4247
Galaxy10_DECals-dataset-05642,1,1,0.7485
Galaxy10_DECals-dataset-02158,0,0,0.4821
Galaxy10_DECals-dataset-08086,2,2,0.6279
Galaxy10_DECals-dataset-10354,2,2,0.682
Galaxy10_DECals-dataset-07315,1,1,0.7022
Galaxy10_DECals-dataset-05605,1,1,0.9997
Galaxy10_DECals-dataset-15921,3,1,0.5378
Galaxy10_DECals-dataset-12174,2,2,0.4811
Galaxy10_DECals-dataset-10713,2,2,0.5382
Galaxy10_DECals-dataset-00356,0,2,0.5831
Galaxy10_DECals-dataset-07754,1,2,0.4108
Galaxy10_DECals-dataset-16048,3,3,0.4826
Galaxy10_DECals-dataset-15212,3,3,0.8667
Galaxy10_DECals-dataset-10825,2,1,0.5743
Galaxy10_DECals-dataset-02943,1,2,0.3429
Galaxy10_DECals-dataset-06608,1,1,0.8404
Galaxy10_DECals-dataset-11340,2,2,0.9656
Galaxy10_DECals-dataset-14144,2,2,0.7162
Galaxy10_DECals-dataset-06588,1,1,0.9216
Galaxy10_DECals-dataset-09815,2,2,0.6321
Galaxy10_DECals-dataset-17179,3,2,0.4687
Galaxy10_DECals-dataset-06899,1,1,0.3777
Galaxy10_DECals-dataset-12474,2,2,0.3667
Galaxy10_DECals-dataset-17406,3,3,1.0
Galaxy10_DECals-dataset-15449,3,3,0.8667
Galaxy10_DECals-dataset-15361,3,3,0.9444
Galaxy10_DECals-dataset-12397,2,3,0.5667
Galaxy10_DECals-dataset-05567,1,2,0.5824
Galaxy10_DECals-dataset-08173,2,2,0.8667
Galaxy10_DECals-dataset-04209,1,1,0.7674
Galaxy10_DECals-dataset-01145,0,3,0.6167
Galaxy10_DECals-dataset-15482,3,1,0.3333
Galaxy10_DECals-dataset-15967,3,3,0.8667
Galaxy10_DECals-dataset-08707,2,2,0.8057
Galaxy10_DECals-dataset-08960,2,2,0.6522
Galaxy10_DECals-dataset-10847,2,1,0.5708
Galaxy10_DECals-dataset-03752,1,1,0.5512
Galaxy10_DECals-dataset-04902,1,2,0.4657
Galaxy10_DECals-dataset-15255,3,3,0.8
Galaxy10_DECals-dataset-08164,2,2,0.504
Galaxy10_DECals-dataset-08585,2,1,0.5978
Galaxy10_DECals-dataset-05154,1,2,0.8096
Galaxy10_DECals-dataset-14836,3,3,1.0
Galaxy10_DECals-dataset-02796,0,1,0.6774
Galaxy10_DECals-dataset-05717,1,1,0.9705
Galaxy10_DECals-dataset-01604,0,2,0.4691
Galaxy10_DECals-dataset-14057,2,0,0.9289
Galaxy10_DECals-dataset-06294,1,1,0.6578
Galaxy10_DECals-dataset-00814,0,1,0.9333
Galaxy10_DECals-dataset-05469,1,1,0.7087
Galaxy10_DECals-dataset-09199,2,2,0.6007
Galaxy10_DECals-dataset-09392,2,2,0.7747
Galaxy10_DECals-dataset-00475,0,2,0.7732
Galaxy10_DECals-dataset-01819,0,0,0.4483
Galaxy10_DECals-dataset-12748,2,2,0.7436
Galaxy10_DECals-dataset-05905,1,1,0.948
Galaxy10_DECals-dataset-16201,3,2,0.7578
Galaxy10_DECals-dataset-07504,1,1,0.6089
Galaxy10_DECals-dataset-09126,2,2,0.4851
Galaxy10_DECals-dataset-17024,3,3,0.9333
Galaxy10_DECals-dataset-06987,1,1,0.7653
Galaxy10_DECals-dataset-17399,3,3,0.8667
Galaxy10_DECals-dataset-07658,1,3,0.6
Galaxy10_DECals-dataset-09160,2,2,0.8266
Galaxy10_DECals-dataset-12152,2,2,0.6523
Galaxy10_DECals-dataset-05356,1,1,0.8996
Galaxy10_DECals-dataset-17205,3,3,0.6667
Galaxy10_DECals-dataset-15443,3,3,0.8667
