FILENAME,CLASS,LABEL,SCORE
Galaxy10_DECals-dataset-08306,2,2,0.6667
Galaxy10_DECals-dataset-15385,3,0,0.5667
Galaxy10_DECals-dataset-09774,2,1,0.7
Galaxy10_DECals-dataset-06639,1,1,0.3667
Galaxy10_DECals-dataset-04406,1,1,0.6667
Galaxy10_DECals-dataset-04642,1,1,0.9667
Galaxy10_DECals-dataset-05628,1,1,0.5333
Galaxy10_DECals-dataset-03048,1,1,0.9333
Galaxy10_DECals-dataset-08210,2,2,0.9
Galaxy10_DECals-dataset-09164,2,2,0.9667
Galaxy10_DECals-dataset-15042,3,3,0.8667
Galaxy10_DECals-dataset-14384,2,0,0.3333
Galaxy10_DECals-dataset-07148,1,0,0.4333
Galaxy10_DECals-dataset-03756,1,2,0.4667
Galaxy10_DECals-dataset-10542,2,2,0.8667
Galaxy10_DECals-dataset-11136,2,2,0.6333
Galaxy10_DECals-dataset-05683,1,1,0.6333
Galaxy10_DECals-dataset-06184,1,0,0.3
Galaxy10_DECals-dataset-16130,3,2,0.4333
Galaxy10_DECals-dataset-17534,3,3,0.5667
Galaxy10_DECals-dataset-02271,0,0,0.5667
Galaxy10_DECals-dataset-16065,3,3,0.6333
Galaxy10_DECals-dataset-00541,0,2,0.3333
Galaxy10_DECals-dataset-16820,3,3,0.4333
Galaxy10_DECals-dataset-06553,1,1,0.7
Galaxy10_DECals-dataset-11802,2,2,0.7
Galaxy10_DECals-dataset-07709,1,1,0.5333
Galaxy10_DECals-dataset-06428,1,1,0.6667
Galaxy10_DECals-dataset-12658,2,2,0.6667
Galaxy10_DECals-dataset-11484,2,2,0.8333
Galaxy10_DECals-dataset-12929,2,2,0.8333
Galaxy10_DECals-dataset-13640,2,0,0.4
Galaxy10_DECals-dataset-15506,3,3,0.8
Galaxy10_DECals-dataset-07252,1,2,0.4333
Galaxy10_DECals-dataset-14580,3,3,0.7667
Galaxy10_DECals-dataset-09270,2,2,0.8
Galaxy10_DECals-dataset-13816,2,2,0.8
Galaxy10_DECals-dataset-11115,2,2,0.5667
Galaxy10_DECals-dataset-08924,2,2,0.6333
Galaxy10_DECals-dataset-16527,3,3,0.4
Galaxy10_DECals-dataset-15267,3,3,0.4667
Galaxy10_DECals-dataset-13291,2,1,0.6
Galaxy10_DECals-dataset-12478,2,1,0.5
Galaxy10_DECals-dataset-00092,0,2,0.5
Galaxy10_DECals-dataset-10103,2,2,0.7667
Galaxy10_DECals-dataset-14300,2,2,0.6
Galaxy10_DECals-dataset-14170,2,0,0.4333
Galaxy10_DECals-dataset-10383,2,2,0.4333
Galaxy10_DECals-dataset-07995,2,2,0.4333
Galaxy10_DECals-dataset-12481,2,3,0.4667
Galaxy10_DECals-dataset-02509,0,0,0.4
Galaxy10_DECals-dataset-05634,1,1,0.8167
Galaxy10_DECals-dataset-06692,1,1,0.6
Galaxy10_DECals-dataset-16366,3,3,0.8
Galaxy10_DECals-dataset-13563,2,2,0.775
Galaxy10_DECals-dataset-00504,0,3,0.4333
Galaxy10_DECals-dataset-16080,3,3,0.5
Galaxy10_DECals-dataset-04091,1,1,0.7333
Galaxy10_DECals-dataset-09720,2,2,0.6333
Galaxy10_DECals-dataset-06219,1,1,0.7667
Galaxy10_DECals-dataset-14723,3,3,0.7333
Galaxy10_DECals-dataset-07161,1,1,0.6333
Galaxy10_DECals-dataset-01066,0,2,0.5667
Galaxy10_DECals-dataset-07330,1,1,0.4667
Galaxy10_DECals-dataset-04250,1,1,0.8667
Galaxy10_DECals-dataset-17158,3,2,0.4
Galaxy10_DECals-dataset-08844,2,2,0.7667
Galaxy10_DECals-dataset-07875,1,2,0.4333
Galaxy10_DECals-dataset-16660,3,3,0.5
Galaxy10_DECals-dataset-16991,3,3,0.5333
Galaxy10_DECals-dataset-08260,2,2,0.3556
Galaxy10_DECals-dataset-05550,1,1,0.8667
Galaxy10_DECals-dataset-01479,0,0,0.5
Galaxy10_DECals-dataset-14195,2,2,0.4667
Galaxy10_DECals-dataset-14447,3,3,0.4333
Galaxy10_DECals-dataset-14392,2,0,0.5333
Galaxy10_DECals-dataset-01630,0,2,0.6667
Galaxy10_DECals-dataset-11527,2,2,0.8333
Galaxy10_DECals-dataset-16250,3,3,0.7333
Galaxy10_DECals-dataset-07952,2,3,0.4333
Galaxy10_DECals-dataset-09256,2,2,0.5333
Galaxy10_DECals-dataset-02747,0,0,0.6333
Galaxy10_DECals-dataset-13445,2,2,0.8222
Galaxy10_DECals-dataset-15839,3,3,0.6333
Galaxy10_DECals-dataset-13820,2,2,0.4333
Galaxy10_DECals-dataset-15096,3,3,0.7333
Galaxy10_DECals-dataset-11989,2,2,0.5
Galaxy10_DECals-dataset-16081,3,3,0.5
Galaxy10_DECals-dataset-14073,2,2,0.4
Galaxy10_DECals-dataset-01619,0,0,0.5
Galaxy10_DECals-dataset-04145,1,1,0.8333
Galaxy10_DECals-dataset-02854,0,0,0.3444
Galaxy10_DECals-dataset-04790,1,2,0.4
Galaxy10_DECals-dataset-05121,1,1,0.5667
Galaxy10_DECals-dataset-04561,1,1,0.8
Galaxy10_DECals-dataset-03246,1,1,0.9667
Galaxy10_DECals-dataset-00562,0,1,0.6667
Galaxy10_DECals-dataset-12297,2,2,0.9
Galaxy10_DECals-dataset-09586,2,2,0.6667
Galaxy10_DECals-dataset-16773,3,3,0.7667
Galaxy10_DECals-dataset-10482,2,2,0.8667
Galaxy10_DECals-dataset-13320,2,2,0.4333
Galaxy10_DECals-dataset-09513,2,0,0.35
Galaxy10_DECals-dataset-08361,2,2,0.7667
Galaxy10_DECals-dataset-05845,1,1,0.5333
Galaxy10_DECals-dataset-16035,3,3,0.5667
Galaxy10_DECals-dataset-08617,2,2,0.5667
Galaxy10_DECals-dataset-09596,2,2,0.8667
Galaxy10_DECals-dataset-09644,2,2,0.7
Galaxy10_DECals-dataset-12652,2,2,0.8333
Galaxy10_DECals-dataset-06417,1,1,0.4333
Galaxy10_DECals-dataset-10148,2,2,0.6
Galaxy10_DECals-dataset-08172,2,2,0.6333
Galaxy10_DECals-dataset-13834,2,2,0.55
Galaxy10_DECals-dataset-16146,3,3,0.4333
Galaxy10_DECals-dataset-05007,1,0,0.4667
Galaxy10_DECals-dataset-13425,2,2,0.3
Galaxy10_DECals-dataset-13969,2,2,0.6667
Galaxy10_DECals-dataset-13805,2,1,0.7
Galaxy10_DECals-dataset-10593,2,2,0.7111
Galaxy10_DECals-dataset-04397,1,1,0.7333
Galaxy10_DECals-dataset-05301,1,1,0.6667
Galaxy10_DECals-dataset-16000,3,2,0.5333
Galaxy10_DECals-dataset-04706,1,1,0.4
Galaxy10_DECals-dataset-07982,2,2,0.3333
Galaxy10_DECals-dataset-08298,2,2,0.8667
Galaxy10_DECals-dataset-07572,1,1,0.4
Galaxy10_DECals-dataset-01629,0,2,0.3333
Galaxy10_DECals-dataset-09467,2,2,0.6333
Galaxy10_DECals-dataset-07020,1,1,0.6833
Galaxy10_DECals-dataset-11521,2,2,0.7
Galaxy10_DECals-dataset-08949,2,2,0.9
Galaxy10_DECals-dataset-04892,1,1,0.7667
Galaxy10_DECals-dataset-02167,0,2,0.5
Galaxy10_DECals-dataset-04366,1,1,0.4
Galaxy10_DECals-dataset-05020,1,1,0.5333
Galaxy10_DECals-dataset-03984,1,1,0.9667
Galaxy10_DECals-dataset-01646,0,2,0.3667
Galaxy10_DECals-dataset-11836,2,2,0.7333
Galaxy10_DECals-dataset-16786,3,3,0.6333
Galaxy10_DECals-dataset-13152,2,2,0.6
Galaxy10_DECals-dataset-17265,3,3,0.6
Galaxy10_DECals-dataset-11748,2,2,0.9667
Galaxy10_DECals-dataset-07667,1,3,0.4
Galaxy10_DECals-dataset-15003,3,3,0.4333
Galaxy10_DECals-dataset-07362,1,1,0.9333
Galaxy10_DECals-dataset-06671,1,1,0.7333
Galaxy10_DECals-dataset-00863,0,2,0.4667
Galaxy10_DECals-dataset-15767,3,3,0.7667
Galaxy10_DECals-dataset-02524,0,0,0.4333
Galaxy10_DECals-dataset-14924,3,3,0.6
Galaxy10_DECals-dataset-07254,1,1,0.7667
Galaxy10_DECals-dataset-02958,1,1,0.9667
Galaxy10_DECals-dataset-01118,0,0,0.5333
Galaxy10_DECals-dataset-06591,1,1,0.7333
Galaxy10_DECals-dataset-10339,2,2,0.6
Galaxy10_DECals-dataset-01252,0,2,0.4333
Galaxy10_DECals-dataset-13264,2,2,0.7667
Galaxy10_DECals-dataset-08744,2,2,0.4333
Galaxy10_DECals-dataset-07890,1,3,0.5
Galaxy10_DECals-dataset-12074,2,2,0.4667
Galaxy10_DECals-dataset-04358,1,1,0.6333
Galaxy10_DECals-dataset-03691,1,1,0.5
Galaxy10_DECals-dataset-16088,3,3,0.7333
Galaxy10_DECals-dataset-10829,2,2,0.4
Galaxy10_DECals-dataset-15961,3,3,0.5667
Galaxy10_DECals-dataset-08897,2,2,0.7333
Galaxy10_DECals-dataset-09104,2,2,0.7333
Galaxy10_DECals-dataset-13173,2,2,0.9
Galaxy10_DECals-dataset-11085,2,0,0.5
Galaxy10_DECals-dataset-05226,1,1,0.5667
Galaxy10_DECals-dataset-15509,3,3,0.4667
Galaxy10_DECals-dataset-04077,1,1,0.5
Galaxy10_DECals-dataset-10160,2,2,0.5667
Galaxy10_DECals-dataset-10640,2,2,0.5333
Galaxy10_DECals-dataset-07281,1,1,0.5333
Galaxy10_DECals-dataset-00758,0,0,0.4
Galaxy10_DECals-dataset-02223,0,2,0.4333
Galaxy10_DECals-dataset-00055,0,0,0.6
Galaxy10_DECals-dataset-09730,2,2,0.8667
Galaxy10_DECals-dataset-16953,3,3,0.8667
Galaxy10_DECals-dataset-00684,0,1,0.7667
Galaxy10_DECals-dataset-02516,0,0,0.5667
Galaxy10_DECals-dataset-01324,0,0,0.4667
Galaxy10_DECals-dataset-07338,1,1,0.9
Galaxy10_DECals-dataset-06497,1,1,0.6333
Galaxy10_DECals-dataset-12785,2,2,0.5
Galaxy10_DECals-dataset-10699,2,2,0.6333
Galaxy10_DECals-dataset-00241,0,2,0.4
Galaxy10_DECals-dataset-16113,3,3,0.6
Galaxy10_DECals-dataset-06394,1,1,0.6667
Galaxy10_DECals-dataset-14041,2,1,0.7333
Galaxy10_DECals-dataset-09233,2,2,0.8
Galaxy10_DECals-dataset-16006,3,3,0.8333
Galaxy10_DECals-dataset-09239,2,2,0.8
Galaxy10_DECals-dataset-03789,1,1,1.0
Galaxy10_DECals-dataset-01408,0,0,0.3667
Galaxy10_DECals-dataset-17351,3,2,0.3667
Galaxy10_DECals-dataset-16303,3,1,0.3667
Galaxy10_DECals-dataset-03571,1,1,0.8
Galaxy10_DECals-dataset-13549,2,2,0.6667
Galaxy10_DECals-dataset-03046,1,1,0.9667
Galaxy10_DECals-dataset-12927,2,0,0.4
Galaxy10_DECals-dataset-04275,1,2,0.6333
Galaxy10_DECals-dataset-01761,0,0,0.4
Galaxy10_DECals-dataset-01568,0,0,0.6
Galaxy10_DECals-dataset-15673,3,3,0.5
Galaxy10_DECals-dataset-06727,1,1,0.5
Galaxy10_DECals-dataset-12707,2,2,0.8
Galaxy10_DECals-dataset-09621,2,2,0.5667
Galaxy10_DECals-dataset-08755,2,2,0.7
Galaxy10_DECals-dataset-13888,2,2,0.4667
Galaxy10_DECals-dataset-06480,1,1,0.6
Galaxy10_DECals-dataset-07730,1,3,0.5
Galaxy10_DECals-dataset-06212,1,0,0.4
Galaxy10_DECals-dataset-10267,2,2,0.7667
Galaxy10_DECals-dataset-11628,2,0,0.4
Galaxy10_DECals-dataset-05178,1,2,0.5667
Galaxy10_DECals-dataset-07469,1,1,0.7
Galaxy10_DECals-dataset-15530,3,2,0.4333
Galaxy10_DECals-dataset-09289,2,1,0.5667
Galaxy10_DECals-dataset-13467,2,0,0.2667
Galaxy10_DECals-dataset-11945,2,2,0.7667
Galaxy10_DECals-dataset-02388,0,2,0.5
Galaxy10_DECals-dataset-08969,2,2,0.6333
Galaxy10_DECals-dataset-05500,1,2,0.3667
Galaxy10_DECals-dataset-15751,3,3,0.8333
Galaxy10_DECals-dataset-01353,0,0,0.6
Galaxy10_DECals-dataset-11224,2,2,0.8667
Galaxy10_DECals-dataset-00671,0,1,0.4667
Galaxy10_DECals-dataset-05368,1,1,0.8333
Galaxy10_DECals-dataset-11674,2,1,0.7333
Galaxy10_DECals-dataset-15456,3,3,0.7667
Galaxy10_DECals-dataset-00559,0,2,0.8333
Galaxy10_DECals-dataset-05702,1,1,0.4667
Galaxy10_DECals-dataset-05805,1,1,0.7667
Galaxy10_DECals-dataset-12750,2,2,0.7
Galaxy10_DECals-dataset-16580,3,0,0.4
Galaxy10_DECals-dataset-06947,1,1,0.8333
Galaxy10_DECals-dataset-04691,1,1,0.6333
Galaxy10_DECals-dataset-16305,3,3,0.5333
Galaxy10_DECals-dataset-04086,1,1,0.5667
Galaxy10_DECals-dataset-09386,2,2,0.9
Galaxy10_DECals-dataset-13272,2,0,0.4
Galaxy10_DECals-dataset-13981,2,2,0.3667
Galaxy10_DECals-dataset-15848,3,3,0.8667
Galaxy10_DECals-dataset-12352,2,2,0.3667
Galaxy10_DECals-dataset-07147,1,1,0.7667
Galaxy10_DECals-dataset-09340,2,2,0.8
Galaxy10_DECals-dataset-06684,1,1,0.4778
Galaxy10_DECals-dataset-02808,0,2,0.4
Galaxy10_DECals-dataset-00815,0,1,0.5
Galaxy10_DECals-dataset-04974,1,1,0.8333
Galaxy10_DECals-dataset-05783,1,1,0.3333
Galaxy10_DECals-dataset-17376,3,3,0.6333
Galaxy10_DECals-dataset-07963,2,2,0.7667
Galaxy10_DECals-dataset-07051,1,1,0.7333
Galaxy10_DECals-dataset-17183,3,3,0.4667
Galaxy10_DECals-dataset-07650,1,1,0.3667
Galaxy10_DECals-dataset-08476,2,2,0.4
Galaxy10_DECals-dataset-14264,2,2,0.7333
Galaxy10_DECals-dataset-00496,0,1,0.3667
Galaxy10_DECals-dataset-05216,1,1,0.4667
Galaxy10_DECals-dataset-00228,0,2,0.3667
Galaxy10_DECals-dataset-07501,1,1,0.6667
Galaxy10_DECals-dataset-04949,1,1,0.9333
Galaxy10_DECals-dataset-16857,3,3,0.8
Galaxy10_DECals-dataset-08088,2,2,0.5333
Galaxy10_DECals-dataset-08536,2,2,0.8
Galaxy10_DECals-dataset-01695,0,2,0.4333
Galaxy10_DECals-dataset-07645,1,3,0.3667
Galaxy10_DECals-dataset-14434,2,2,0.5
Galaxy10_DECals-dataset-03659,1,1,0.7333
Galaxy10_DECals-dataset-09536,2,2,0.6
Galaxy10_DECals-dataset-17216,3,3,0.5
Galaxy10_DECals-dataset-11187,2,2,0.9
Galaxy10_DECals-dataset-06757,1,1,0.6333
Galaxy10_DECals-dataset-14318,2,2,0.5667
Galaxy10_DECals-dataset-04925,1,1,0.7
Galaxy10_DECals-dataset-16626,3,3,0.8333
Galaxy10_DECals-dataset-04610,1,1,0.6667
Galaxy10_DECals-dataset-11789,2,0,0.3667
Galaxy10_DECals-dataset-10510,2,1,0.4
Galaxy10_DECals-dataset-04631,1,1,0.7167
Galaxy10_DECals-dataset-10353,2,2,0.8333
Galaxy10_DECals-dataset-16373,3,3,0.4333
Galaxy10_DECals-dataset-06479,1,1,0.7
Galaxy10_DECals-dataset-10105,2,2,0.5333
Galaxy10_DECals-dataset-06354,1,1,0.8
Galaxy10_DECals-dataset-14984,3,3,0.4333
Galaxy10_DECals-dataset-13587,2,2,0.4333
Galaxy10_DECals-dataset-04595,1,1,1.0
Galaxy10_DECals-dataset-06769,1,1,0.6667
Galaxy10_DECals-dataset-03418,1,1,0.7667
Galaxy10_DECals-dataset-05315,1,1,0.8
Galaxy10_DECals-dataset-02193,0,0,0.6
Galaxy10_DECals-dataset-09469,2,2,0.4333
Galaxy10_DECals-dataset-00586,0,1,0.7333
Galaxy10_DECals-dataset-17029,3,3,0.4
Galaxy10_DECals-dataset-09248,2,2,0.7667
Galaxy10_DECals-dataset-02105,0,2,0.5
Galaxy10_DECals-dataset-11197,2,2,0.9667
Galaxy10_DECals-dataset-03141,1,1,0.4667
Galaxy10_DECals-dataset-15450,3,2,0.4667
Galaxy10_DECals-dataset-14842,3,3,0.7667
Galaxy10_DECals-dataset-09953,2,2,0.5667
Galaxy10_DECals-dataset-12602,2,2,0.6333
Galaxy10_DECals-dataset-10533,2,2,0.8667
Galaxy10_DECals-dataset-05302,1,2,0.3333
Galaxy10_DECals-dataset-13899,2,2,0.5333
Galaxy10_DECals-dataset-04726,1,1,0.6
Galaxy10_DECals-dataset-02511,0,0,0.3667
Galaxy10_DECals-dataset-16330,3,3,0.6
Galaxy10_DECals-dataset-16314,3,3,0.7667
Galaxy10_DECals-dataset-17287,3,3,0.5333
Galaxy10_DECals-dataset-04576,1,1,0.9333
Galaxy10_DECals-dataset-03195,1,1,0.85
Galaxy10_DECals-dataset-08772,2,3,0.4667
Galaxy10_DECals-dataset-00895,0,2,0.9
Galaxy10_DECals-dataset-15657,3,3,0.6333
Galaxy10_DECals-dataset-15048,3,3,0.8
Galaxy10_DECals-dataset-00373,0,2,0.4333
Galaxy10_DECals-dataset-00437,0,1,0.5333
Galaxy10_DECals-dataset-08767,2,2,0.7667
Galaxy10_DECals-dataset-09332,2,2,0.5667
Galaxy10_DECals-dataset-11371,2,2,0.9
Galaxy10_DECals-dataset-15194,3,3,0.7
Galaxy10_DECals-dataset-16028,3,2,0.3333
Galaxy10_DECals-dataset-15686,3,3,0.5
Galaxy10_DECals-dataset-11174,2,2,0.7
Galaxy10_DECals-dataset-10183,2,1,0.6333
Galaxy10_DECals-dataset-14180,2,2,0.4667
Galaxy10_DECals-dataset-09966,2,2,0.6
Galaxy10_DECals-dataset-16177,3,0,0.3889
Galaxy10_DECals-dataset-07806,1,1,0.6
Galaxy10_DECals-dataset-10069,2,2,0.5333
Galaxy10_DECals-dataset-04119,1,1,0.9667
Galaxy10_DECals-dataset-15742,3,3,0.8667
Galaxy10_DECals-dataset-06003,1,2,0.4333
Galaxy10_DECals-dataset-04238,1,2,0.3667
Galaxy10_DECals-dataset-05372,1,1,0.5333
Galaxy10_DECals-dataset-09292,2,2,1.0
Galaxy10_DECals-dataset-06978,1,1,0.6667
Galaxy10_DECals-dataset-02266,0,2,0.4
Galaxy10_DECals-dataset-05642,1,1,0.7667
Galaxy10_DECals-dataset-02158,0,0,0.4667
Galaxy10_DECals-dataset-08086,2,0,0.3667
Galaxy10_DECals-dataset-10354,2,2,0.6333
Galaxy10_DECals-dataset-07315,1,1,0.5667
Galaxy10_DECals-dataset-05605,1,1,0.7333
Galaxy10_DECals-dataset-15921,3,3,0.4667
Galaxy10_DECals-dataset-12174,2,2,0.5
Galaxy10_DECals-dataset-10713,2,2,0.3667
Galaxy10_DECals-dataset-00356,0,2,0.7333
Galaxy10_DECals-dataset-07754,1,1,0.4333
Galaxy10_DECals-dataset-16048,3,3,0.5667
Galaxy10_DECals-dataset-15212,3,3,0.8
Galaxy10_DECals-dataset-10825,2,1,0.5333
Galaxy10_DECals-dataset-02943,1,1,0.4333
Galaxy10_DECals-dataset-06608,1,1,0.7333
Galaxy10_DECals-dataset-11340,2,2,0.8333
Galaxy10_DECals-dataset-14144,2,2,0.7
Galaxy10_DECals-dataset-06588,1,1,0.7667
Galaxy10_DECals-dataset-09815,2,2,0.7333
Galaxy10_DECals-dataset-17179,3,2,0.5
Galaxy10_DECals-dataset-06899,1,1,0.4
Galaxy10_DECals-dataset-12474,2,3,0.7333
Galaxy10_DECals-dataset-17406,3,3,0.8
Galaxy10_DECals-dataset-15449,3,3,0.7
Galaxy10_DECals-dataset-15361,3,3,0.6667
Galaxy10_DECals-dataset-12397,2,3,0.4
Galaxy10_DECals-dataset-05567,1,1,0.5
Galaxy10_DECals-dataset-08173,2,2,0.9667
Galaxy10_DECals-dataset-04209,1,1,0.7333
Galaxy10_DECals-dataset-01145,0,1,0.3667
Galaxy10_DECals-dataset-15482,3,1,0.4333
Galaxy10_DECals-dataset-15967,3,3,0.5667
Galaxy10_DECals-dataset-08707,2,2,0.6333
Galaxy10_DECals-dataset-08960,2,2,0.8667
Galaxy10_DECals-dataset-10847,2,2,0.6333
Galaxy10_DECals-dataset-03752,1,1,0.5
Galaxy10_DECals-dataset-04902,1,2,0.4667
Galaxy10_DECals-dataset-15255,3,3,0.7333
Galaxy10_DECals-dataset-08164,2,2,0.4667
Galaxy10_DECals-dataset-08585,2,1,0.4333
Galaxy10_DECals-dataset-05154,1,2,0.9
Galaxy10_DECals-dataset-14836,3,3,0.7333
Galaxy10_DECals-dataset-02796,0,2,0.4667
Galaxy10_DECals-dataset-05717,1,1,0.8333
Galaxy10_DECals-dataset-01604,0,2,0.4333
Galaxy10_DECals-dataset-14057,2,0,0.7333
Galaxy10_DECals-dataset-06294,1,1,0.7
Galaxy10_DECals-dataset-00814,0,1,0.6667
Galaxy10_DECals-dataset-05469,1,1,0.7
Galaxy10_DECals-dataset-09199,2,2,0.6667
Galaxy10_DECals-dataset-09392,2,2,0.8333
Galaxy10_DECals-dataset-00475,0,2,0.5333
Galaxy10_DECals-dataset-01819,0,0,0.5333
Galaxy10_DECals-dataset-12748,2,2,0.7
Galaxy10_DECals-dataset-05905,1,1,0.7
Galaxy10_DECals-dataset-16201,3,0,0.3
Galaxy10_DECals-dataset-07504,1,1,0.3333
Galaxy10_DECals-dataset-09126,2,2,0.3333
Galaxy10_DECals-dataset-17024,3,3,0.6667
Galaxy10_DECals-dataset-06987,1,1,0.9
Galaxy10_DECals-dataset-17399,3,3,0.8333
Galaxy10_DECals-dataset-07658,1,3,0.6
Galaxy10_DECals-dataset-09160,2,2,0.6
Galaxy10_DECals-dataset-12152,2,2,0.7
Galaxy10_DECals-dataset-05356,1,1,0.8333
Galaxy10_DECals-dataset-17205,3,2,0.4
Galaxy10_DECals-dataset-15443,3,3,0.8333
Galaxy10_DECals-dataset-04150,1,1,0.6333
Galaxy10_DECals-dataset-14234,2,1,0.4667
Galaxy10_DECals-dataset-11227,2,2,0.9667
Galaxy10_DECals-dataset-07477,1,1,0.7667
